id,alias,call_sign,code_iata,code_icao,country_id,name
C0,,CENTRALWINGS,C0,CLW,pl,Centralwings
C1,,CAX,C1,CA1,ca,CanXpress
C2,,,C2,CAP,ca,CanXplorer
C3,Contactair,CONTACTAIR,C3,KIS,de,Contact Air
C3,qatXpress,,C3,QAX,qa,QatXpress
C4,lionXpress,LIX,C4,LIX,cm,LionXpress
C5,,COMMUTAIR,C5,UCA,us,CommutAir
C7,,,C7,CR7,,Sky Wing Pacific
C9,,CIRRUS AIR,C9,RUS,de,Cirrus Airlines
CA,,AIR CHINA,CA,CCA,cn,Air China
CB,,,CB,CCC,co,CCML Airlines
CC,,,CC,MCK,au,Macair Airlines
CC,,ATLANTA,CC,ABD,is,Air Atlanta Icelandic
CD,,ALLIED,CD,,in,Air India Regional
CE,,NATIONWIDE,CE,NTW,za,Nationwide Airlines
CF,,SWEDESTAR,CF,SDR,se,City Airline
CG,,BALUS,CG,TOK,pg,Airlines PNG
CH,,BEMIDJI,CH,BMJ,us,Bemidji Airlines
CI,,DYNASTY,CI,CAL,tw,China Airlines
CJ,,FLYER,CJ,CFE,gb,BA CityFlyer
CL,,HANSALINE,CL,CLH,de,Lufthansa CityLine
CM,,COPA,CM,CMP,pa,Copa Airlines
CN,,CaNational,CN,YCP,ca,Canadian National Airways
CO,,JETLINK,CO,,us,Continental Express
CO,,CONTINENTAL,CO,COA,us,Continental Airlines
CP,,Compass Rose,CP,CPZ,us,Compass Airlines
CP,,CANADIAN,CP,CDN,ca,Canadian Airlines
CQ,SOCHI,SLOW FROG,CQ,KOL,ru,SOCHI AIR
CS,,AIR MIKE,CS,CMI,us,Continental Micronesia
CT,,,CT,,it,Alitalia Cityliner
CU,,CUBANA,CU,CUB,cu,Cubana de Aviación
CV,,CHATHAM,CV,CVA,nz,Air Chathams
CW,,AIR MARSHALLS,CW,CWM,mh,Air Marshall Islands
CX,,CATHAY,CX,CPA,,Cathay Pacific
CY,,CYPRUS,CY,CYP,cy,Cyprus Airways
CZ,,CHINA SOUTHERN,CZ,CSN,cn,China Southern Airlines
D1,Domenican,Domenican,D1,MDO,do,Domenican Airlines
D3,,DALO AIRLINES,D3,DAO,dj,Daallo Airlines
D6,,INLINE,D6,ILN,za,Interair South Africa
D7,FlyAsianXpress,XANADU,D7,XAX,my,AirAsia X
D8,,DJIBOUTI AIR,D8,DJB,dj,Djibouti Airlines
D9,,DONAVIA,D9,DNV,ru,Aeroflot-Don
DA,,DANACO,DA,,ng,Dana Air
DB,,BRITAIR,DB,BZH,fr,Brit Air
DC,,GOLDEN,DC,GAO,se,Golden Air
DD,,NOK AIR,DD,NOK,th,Nok Air
DE,,CONDOR,DE,CFG,de,Condor Flugdienst
DF,Javi,MJG,DF,MJG,pr,Michael Airlines
DG,,SEAIR,DG,SRQ,ph,South East Asian Airlines
DH,Dennis Sky Holding,DSY,DH,DSY,il,Dennis Sky
DI,,SPEEDWAY,DI,BAG,de,dba
DK,,,DK,ELA,au,Eastland Air
DL,,DELTA,DL,DAL,us,Delta Air Lines
DM,,,DM,,dk,Maersk
DN,,,DN,SGG,sn,Senegal Airlines
DO,,DOMINICANA,DO,DOA,do,Dominicana de Aviaci
DP,,JETSET,DP,FCA,gb,First Choice Airways
DQ,,U.S. Virgin Islands,DQ,,us,Coastal Air
DR,,MEDITERRANEE,DR,BIE,fr,Air Mediterranee
DS,,,DS,,ch,EasyJet (DS)
DT,,DTA,DT,DTA,ao,TAAG Angola Airlines
DV,,VLASTA,DV,VSV,kz,Scat Air
DX,,DANISH,DX,DTR,dk,DAT Danish Air Transport
DY,,NOR SHUTTLE,DY,NAX,no,Norwegian Air Shuttle
DZ,,ALUNK,DZ,,kz,Starline.kz
E1,USky,USKY,E1,ES2,us,Usa Sky Cargo
E3,,DOMODEDOVO,E3,DMO,ru,Domodedovo Airlines
E4,,,E4,GIE,cm,Elysian Airlines
E5,,,E5,RBG,eg,Air Arabia Egypt
E9,,AFRICOMPANY,E9,,,Compagnie Africaine d'Aviation
EA,,STAR WING,EA,EAL,de,European Air Express
EC,,TWINARROW,EC,TWN,uz,Avialeasing Aviation Company
ED,,PAKBLUE,ED,ABQ,pk,Airblue
EF,,Far Eastern,EF,EFA,tw,Far Eastern Air Transport
EG,,ASIA,EG,JAA,jp,Japan Asia Airways
EI,,SHAMROCK,EI,EIN,ie,Aer Lingus
EJ,,NEW ENGLAND,EJ,NEA,us,New England Airlines
EK,Emirates Airlines,EMIRATES,EK,UAE,ae,Emirates
EL,,ANK AIR,EL,ANK,jp,Air Nippon
EM,,AEROBEN,EM,AEB,bj,Aero Benin
EN,,DOLOMOTI,EN,DLA,it,Air Dolomiti
EO,,LONGHORN,EO,LHN,us,Express One International
EP,,,EP,IRC,,Iran Aseman Airlines
EQ,,TAME,EQ,TAE,ec,TAME
ER,,,ER,RWW,es,Fly Europa
ES,,EuropeSky,ES,EUV,de,EuropeSky
ET,,ETHIOPIAN,ET,ETH,et,Ethiopian Airlines
EU,,ECUATORIANA,EU,EEA,ec,Empresa Ecuatoriana De Aviacion
EV,,ACEY,EV,ASQ,us,Atlantic Southeast Airlines
EW,,EUROWINGS,EW,EWG,de,Eurowings
EY,,ETIHAD,EY,ETD,ae,Etihad Airways
EZ,,EVERGREEN,EZ,EIA,us,Evergreen International Airlines
F1,Fly Brasil,FBL,F1,FBL,br,Fly Brasil
F7,,BABOO,F7,BBO,ch,Flybaboo
F8,,,F8,,nz,Air2there
F9,,FRONTIER FLIGHT,F9,FFT,us,Frontier Airlines
FA,Epic Holidays,Epic,FA,4AA,us,Epic Holiday
FB,,FLYING BULGARIA,FB,LZB,bg,Bulgaria Air
FC,,WESTBIRD,FC,WBA,fi,Finncomm Airlines
FD,Thai Air Asia,THAI ASIA,FD,AIQ,th,Thai AirAsia
FG,,ARIANA,FG,AFG,af,Ariana Afghan Airlines
FH,,FLYHIRELAND,FH,FHI,ie,FlyHigh Airlines Ireland (FH)
FI,,ICEAIR,FI,ICE,is,Icelandair
FJ,,PACIFIC,FJ,FJI,fj,Air Pacific
FK,,WEST TOGO,FK,WTA,tg,Africa West
FL,,CITRUS,FL,TRS,us,AirTran Airways
FM,,SHANGHAI AIR,FM,CSH,cn,Shanghai Airlines
FN,,,FN,,ma,Regional Airlines
FO,,AIRTAS,FO,ATM,au,Airlines Of Tasmania
FP,,FREEDOM,FP,FRE,us,Freedom Air
FQ,,THOMAS COOK,FQ,TCW,be,Thomas Cook Airlines
FR,,RYANAIR,FR,RYR,ie,Ryanair
FS,,FUEGUINO,FS,STU,ar,Servicios de Transportes A
FT,,SIEMREAP AIR,FT,SRH,kh,Siem Reap Airways
FU,,,FU,FXX,ye,Felix Airways
FV,Pulkovo Aviation Enterprise,PULKOVO,FV,SDM,ru,Rossiya-Russian Airlines
FW,,IBEX,FW,IBX,jp,Ibex Airlines
FY,,FIREFLY,FY,FFM,my,Firefly
FZ,,,FZ,FDB,ae,Fly Dubai
G0,,GHANA AIRLINES,G0,GHB,gh,Ghana International Airlines
G1,Indya1,Indya1,G1,IG1,in,Indya Airline Group
G3,,CONNEXION,G3,CIX,bi,City Connexion Airlines
G3,,AIR CRETE,G3,SEH,gr,Sky Express
G3,,GOL TRANSPORTE,G3,GLO,br,Gol Transportes Aéreos
G4,,ALLEGIANT,G4,AAY,us,Allegiant Air
G5,HUAXIA,,G5,,cn,Huaxia
G6,,GOUMRAK,G6,,ru,Air Volga
G7,,GATEWAY,G7,GJS,us,GoJet Airlines
G8,,GOAIR,G8,GOW,in,Go Air
G9,,ARABIA,G9,ABY,ae,Air Arabia
GA,,INDONESIA,GA,GIA,id,Garuda Indonesia
GB,BRAZIL AIR,BRAZIL AIR,GB,BZE,br,BRAZIL AIR
GE,,TransAsia,GE,TNA,tw,TransAsia Airways
GF,,GULF BAHRAIN,GF,GBA,bh,Gulf Air Bahrain
GG,,GREEN BIRD,GG,GUY,gf,Air Guyane
GH,,,GH,GLP,ru,Globus
GI,,ITEK-AIR,GI,IKA,kg,Itek Air
GJ,,EUROFLY,GJ,EEU,it,Eurofly Service
GK,,,GK,,pk,Genesis
GL,,GREENLAND,GL,GRL,dk,Air Greenland
GM,Germanair,,GM,GER,de,German International Air Lines
GN,,,GN,,br,GNB Linhas Aereas
GO,,KUZU CARGO,GO,KZU,tr,Kuzu Airlines Cargo
GP,,GADAIR,GP,GDR,es,Gadair European Airlines
GR,,AYLINE,GR,AUR,gb,Aurigny Air Services
GS,,FOYLE,GS,UPA,gb,Air Foyle
GT,,GEEBEE AIRWAYS,GT,GBL,gb,GB Airways
GV,,Aero Fox,GV,ARF,de,Aero Flight
GW,,AIR KUBAN,GW,KIL,ru,Kuban Airlines
GY,,GABON AIRLINES,GY,GBK,ga,Gabon Airlines
GZ,,,GZ,RAR,ck,Air Rarotonga
H1,,,H1,HA1,us,Hankook Air US
H2,,AEROSKY,H2,SKU,cl,Sky Airline
H3,,,H3,,ca,Harbour Air (Priv)
H5,,RUSSIAN SKY,H5,RSY,ru,I-Fly
H6,,HAGELAND,H6,HAG,us,Hageland Aviation Services
H7,,,H7,,ug,Eagle Air
H8,,DALAVIA,H8,KHB,ru,Dalavia
H9,,,H9,,tr,PEGASUS AIRLINES-
HA,,HAWAIIAN,HA,HAL,us,Hawaiian Airlines
HC,Himalaya,Himalayan,HC,HYM,np,Himalayan Airlines
HD,,AIR DO,HD,ADO,jp,Hokkaido International Airlines
HE,,WALTER,HE,LGW,de,Luftfahrtgesellschaft Walter
HF,,HAPAG LLOYD,HF,HLF,de,Hapagfly
HG,,FLYNIKI,HG,NLY,at,Niki
HH,,Air Hamburg,HH,AHO,de,Air Hamburg (AHO)
HI,,,HI,,us,Papillon Grand Canyon Helicopters
HK,,Hotel Kilo,HK,,,Yangon Airways
HM,,SEYCHELLES,HM,SEY,sc,Air Seychelles
HN,,HNX,HN,HNX,,Hankook Airline
HO,,JUNEYAO AIRLINES,HO,DKH,cn,Juneyao Airlines
HP,,CACTUS,HP,AWE,us,America West Airlines
