id,code,country_id,long_name,name,time_offset
America/Nome,America/Nome,us,America/Nome,Nome,−09:00
America/Noronha,America/Noronha,br,America/Noronha,Noronha,−02:00
America/North_Dakota/Beulah,America/North_Dakota/Beulah,us,America/North Dakota/Beulah,North Dakota/Beulah,−06:00
America/North_Dakota/Center,America/North_Dakota/Center,us,America/North Dakota/Center,North Dakota/Center,−06:00
America/North_Dakota/New_Salem,America/North_Dakota/New_Salem,us,America/North Dakota/New Salem,North Dakota/New Salem,−06:00
America/Nuuk,America/Nuuk,gl,America/Nuuk,Nuuk,−03:00
America/Ojinaga,America/Ojinaga,mx,America/Ojinaga,Ojinaga,−06:00
America/Panama,America/Panama,pa,America/Panama,Panama,−05:00
America/Pangnirtung,America/Pangnirtung,ca,America/Pangnirtung,Pangnirtung,−05:00
America/Paramaribo,America/Paramaribo,sr,America/Paramaribo,Paramaribo,−03:00
America/Phoenix,America/Phoenix,us,America/Phoenix,Phoenix,−07:00
America/Port-au-Prince,America/Port-au-Prince,ht,America/Port-au-Prince,Port-au-Prince,−05:00
America/Port_of_Spain,America/Port_of_Spain,tt,America/Port of Spain,Port of Spain,−04:00
America/Porto_Velho,America/Porto_Velho,br,America/Porto Velho,Porto Velho,−04:00
America/Puerto_Rico,America/Puerto_Rico,pr,America/Puerto Rico,Puerto Rico,−04:00
America/Punta_Arenas,America/Punta_Arenas,cl,America/Punta Arenas,Punta Arenas,−03:00
America/Rainy_River,America/Rainy_River,ca,America/Rainy River,Rainy River,−06:00
America/Rankin_Inlet,America/Rankin_Inlet,ca,America/Rankin Inlet,Rankin Inlet,−06:00
America/Recife,America/Recife,br,America/Recife,Recife,−03:00
America/Regina,America/Regina,ca,America/Regina,Regina,−06:00
America/Resolute,America/Resolute,ca,America/Resolute,Resolute,−06:00
America/Rio_Branco,America/Rio_Branco,br,America/Rio Branco,Rio Branco,−05:00
America/Santarem,America/Santarem,br,America/Santarem,Santarem,−03:00
America/Santiago,America/Santiago,cl,America/Santiago,Santiago,−04:00
America/Santo_Domingo,America/Santo_Domingo,do,America/Santo Domingo,Santo Domingo,−04:00
America/Sao_Paulo,America/Sao_Paulo,br,America/Sao Paulo,Sao Paulo,−03:00
America/Scoresbysund,America/Scoresbysund,gl,America/Scoresbysund,Scoresbysund,−01:00
America/Sitka,America/Sitka,us,America/Sitka,Sitka,−09:00
America/St_Barthelemy,America/St_Barthelemy,bl,America/St Barthelemy,St Barthelemy,−04:00
America/St_Johns,America/St_Johns,ca,America/St Johns,St Johns,−03:30
America/St_Kitts,America/St_Kitts,kn,America/St Kitts,St Kitts,−04:00
America/St_Lucia,America/St_Lucia,lc,America/St Lucia,St Lucia,−04:00
America/St_Thomas,America/St_Thomas,vi,America/St Thomas,St Thomas,−04:00
America/St_Vincent,America/St_Vincent,vc,America/St Vincent,St Vincent,−04:00
America/Swift_Current,America/Swift_Current,ca,America/Swift Current,Swift Current,−06:00
America/Tegucigalpa,America/Tegucigalpa,hn,America/Tegucigalpa,Tegucigalpa,−06:00
America/Thule,America/Thule,gl,America/Thule,Thule,−04:00
America/Thunder_Bay,America/Thunder_Bay,ca,America/Thunder Bay,Thunder Bay,−05:00
America/Tijuana,America/Tijuana,mx,America/Tijuana,Tijuana,−08:00
America/Toronto,America/Toronto,ca,America/Toronto,Toronto,−05:00
America/Tortola,America/Tortola,vg,America/Tortola,Tortola,−04:00
America/Vancouver,America/Vancouver,ca,America/Vancouver,Vancouver,−08:00
America/Whitehorse,America/Whitehorse,ca,America/Whitehorse,Whitehorse,−07:00
America/Winnipeg,America/Winnipeg,ca,America/Winnipeg,Winnipeg,−06:00
America/Yakutat,America/Yakutat,us,America/Yakutat,Yakutat,−09:00
America/Yellowknife,America/Yellowknife,ca,America/Yellowknife,Yellowknife,−07:00
Antarctica/Casey,Antarctica/Casey,aq,Antarctica/Casey,Casey,+11:00
Antarctica/Davis,Antarctica/Davis,aq,Antarctica/Davis,Davis,+07:00
Antarctica/DumontDUrville,Antarctica/DumontDUrville,aq,Antarctica/DumontDUrville,DumontDUrville,+10:00
Antarctica/Macquarie,Antarctica/Macquarie,au,Antarctica/Macquarie,Macquarie,+10:00
Antarctica/Mawson,Antarctica/Mawson,aq,Antarctica/Mawson,Mawson,+05:00
Antarctica/McMurdo,Antarctica/McMurdo,aq,Antarctica/McMurdo,McMurdo,+12:00
Antarctica/Palmer,Antarctica/Palmer,aq,Antarctica/Palmer,Palmer,−03:00
Antarctica/Rothera,Antarctica/Rothera,aq,Antarctica/Rothera,Rothera,−03:00
Antarctica/Syowa,Antarctica/Syowa,aq,Antarctica/Syowa,Syowa,+03:00
Antarctica/Troll,Antarctica/Troll,aq,Antarctica/Troll,Troll,+00:00
Antarctica/Vostok,Antarctica/Vostok,aq,Antarctica/Vostok,Vostok,+06:00
Arctic/Longyearbyen,Arctic/Longyearbyen,sj,Arctic/Longyearbyen,Longyearbyen,+01:00
Asia/Aden,Asia/Aden,ye,Asia/Aden,Aden,+03:00
Asia/Almaty,Asia/Almaty,kz,Asia/Almaty,Almaty,+06:00
Asia/Amman,Asia/Amman,jo,Asia/Amman,Amman,+03:00
Asia/Anadyr,Asia/Anadyr,ru,Asia/Anadyr,Anadyr,+12:00
Asia/Aqtau,Asia/Aqtau,kz,Asia/Aqtau,Aqtau,+05:00
Asia/Aqtobe,Asia/Aqtobe,kz,Asia/Aqtobe,Aqtobe,+05:00
Asia/Ashgabat,Asia/Ashgabat,tm,Asia/Ashgabat,Ashgabat,+05:00
Asia/Atyrau,Asia/Atyrau,kz,Asia/Atyrau,Atyrau,+05:00
Asia/Baghdad,Asia/Baghdad,iq,Asia/Baghdad,Baghdad,+03:00
Asia/Bahrain,Asia/Bahrain,bh,Asia/Bahrain,Bahrain,+03:00
Asia/Baku,Asia/Baku,az,Asia/Baku,Baku,+04:00
Asia/Bangkok,Asia/Bangkok,th,Asia/Bangkok,Bangkok,+07:00
Asia/Barnaul,Asia/Barnaul,ru,Asia/Barnaul,Barnaul,+07:00
Asia/Beirut,Asia/Beirut,lb,Asia/Beirut,Beirut,+02:00
Asia/Bishkek,Asia/Bishkek,kg,Asia/Bishkek,Bishkek,+06:00
Asia/Brunei,Asia/Brunei,bn,Asia/Brunei,Brunei,+08:00
Asia/Chita,Asia/Chita,ru,Asia/Chita,Chita,+09:00
Asia/Choibalsan,Asia/Choibalsan,mn,Asia/Choibalsan,Choibalsan,+08:00
Asia/Colombo,Asia/Colombo,lk,Asia/Colombo,Colombo,+05:30
Asia/Damascus,Asia/Damascus,sy,Asia/Damascus,Damascus,+03:00
Asia/Dhaka,Asia/Dhaka,bd,Asia/Dhaka,Dhaka,+06:00
Asia/Dili,Asia/Dili,tl,Asia/Dili,Dili,+09:00
Asia/Dubai,Asia/Dubai,ae,Asia/Dubai,Dubai,+04:00
Asia/Dushanbe,Asia/Dushanbe,tj,Asia/Dushanbe,Dushanbe,+05:00
Asia/Famagusta,Asia/Famagusta,cy,Asia/Famagusta,Famagusta,+02:00
Asia/Gaza,Asia/Gaza,ps,Asia/Gaza,Gaza,+02:00
Asia/Hebron,Asia/Hebron,ps,Asia/Hebron,Hebron,+02:00
Asia/Ho_Chi_Minh,Asia/Ho_Chi_Minh,vn,Asia/Ho Chi Minh,Ho Chi Minh,+07:00
Asia/Hong_Kong,Asia/Hong_Kong,hk,Asia/Hong Kong,Hong Kong,+08:00
Asia/Hovd,Asia/Hovd,mn,Asia/Hovd,Hovd,+07:00
Asia/Irkutsk,Asia/Irkutsk,ru,Asia/Irkutsk,Irkutsk,+08:00
Asia/Jakarta,Asia/Jakarta,id,Asia/Jakarta,Jakarta,+07:00
Asia/Jayapura,Asia/Jayapura,id,Asia/Jayapura,Jayapura,+09:00
Asia/Jerusalem,Asia/Jerusalem,il,Asia/Jerusalem,Jerusalem,+02:00
Asia/Kabul,Asia/Kabul,af,Asia/Kabul,Kabul,+04:30
Asia/Kamchatka,Asia/Kamchatka,ru,Asia/Kamchatka,Kamchatka,+12:00
Asia/Karachi,Asia/Karachi,pk,Asia/Karachi,Karachi,+05:00
Asia/Kathmandu,Asia/Kathmandu,np,Asia/Kathmandu,Kathmandu,+05:45
Asia/Khandyga,Asia/Khandyga,ru,Asia/Khandyga,Khandyga,+09:00
Asia/Kolkata,Asia/Kolkata,in,Asia/Kolkata,Kolkata,+05:30
Asia/Krasnoyarsk,Asia/Krasnoyarsk,ru,Asia/Krasnoyarsk,Krasnoyarsk,+07:00
Asia/Kuala_Lumpur,Asia/Kuala_Lumpur,my,Asia/Kuala Lumpur,Kuala Lumpur,+08:00
Asia/Kuching,Asia/Kuching,my,Asia/Kuching,Kuching,+08:00
Asia/Kuwait,Asia/Kuwait,kw,Asia/Kuwait,Kuwait,+03:00
Asia/Macau,Asia/Macau,mo,Asia/Macau,Macau,+08:00
Asia/Magadan,Asia/Magadan,ru,Asia/Magadan,Magadan,+11:00
Asia/Makassar,Asia/Makassar,id,Asia/Makassar,Makassar,+08:00
Asia/Manila,Asia/Manila,ph,Asia/Manila,Manila,+08:00
Asia/Muscat,Asia/Muscat,om,Asia/Muscat,Muscat,+04:00
Asia/Nicosia,Asia/Nicosia,cy,Asia/Nicosia,Nicosia,+02:00
Asia/Novokuznetsk,Asia/Novokuznetsk,ru,Asia/Novokuznetsk,Novokuznetsk,+07:00
Asia/Novosibirsk,Asia/Novosibirsk,ru,Asia/Novosibirsk,Novosibirsk,+07:00
Asia/Omsk,Asia/Omsk,ru,Asia/Omsk,Omsk,+06:00
Asia/Oral,Asia/Oral,kz,Asia/Oral,Oral,+05:00
Asia/Phnom_Penh,Asia/Phnom_Penh,kh,Asia/Phnom Penh,Phnom Penh,+07:00
Asia/Pontianak,Asia/Pontianak,id,Asia/Pontianak,Pontianak,+07:00
Asia/Pyongyang,Asia/Pyongyang,kp,Asia/Pyongyang,Pyongyang,+09:00
Asia/Qatar,Asia/Qatar,qa,Asia/Qatar,Qatar,+03:00
Asia/Qostanay,Asia/Qostanay,kz,Asia/Qostanay,Qostanay,+06:00
Asia/Qyzylorda,Asia/Qyzylorda,kz,Asia/Qyzylorda,Qyzylorda,+05:00
Asia/Riyadh,Asia/Riyadh,sa,Asia/Riyadh,Riyadh,+03:00
Asia/Sakhalin,Asia/Sakhalin,ru,Asia/Sakhalin,Sakhalin,+11:00
Asia/Samarkand,Asia/Samarkand,uz,Asia/Samarkand,Samarkand,+05:00
Asia/Seoul,Asia/Seoul,kr,Asia/Seoul,Seoul,+09:00
Asia/Shanghai,Asia/Shanghai,cn,Asia/Shanghai,Shanghai,+08:00
Asia/Singapore,Asia/Singapore,sg,Asia/Singapore,Singapore,+08:00
Asia/Srednekolymsk,Asia/Srednekolymsk,ru,Asia/Srednekolymsk,Srednekolymsk,+11:00
Asia/Taipei,Asia/Taipei,tw,Asia/Taipei,Taipei,+08:00
Asia/Tashkent,Asia/Tashkent,uz,Asia/Tashkent,Tashkent,+05:00
Asia/Tbilisi,Asia/Tbilisi,ge,Asia/Tbilisi,Tbilisi,+04:00
Asia/Tehran,Asia/Tehran,ir,Asia/Tehran,Tehran,+03:30
Asia/Thimphu,Asia/Thimphu,bt,Asia/Thimphu,Thimphu,+06:00
Asia/Tokyo,Asia/Tokyo,jp,Asia/Tokyo,Tokyo,+09:00
Asia/Tomsk,Asia/Tomsk,ru,Asia/Tomsk,Tomsk,+07:00
Asia/Ulaanbaatar,Asia/Ulaanbaatar,mn,Asia/Ulaanbaatar,Ulaanbaatar,+08:00
Asia/Urumqi,Asia/Urumqi,cn,Asia/Urumqi,Urumqi,+06:00
Asia/Ust-Nera,Asia/Ust-Nera,ru,Asia/Ust-Nera,Ust-Nera,+10:00
Asia/Vientiane,Asia/Vientiane,la,Asia/Vientiane,Vientiane,+07:00
Asia/Vladivostok,Asia/Vladivostok,ru,Asia/Vladivostok,Vladivostok,+10:00
Asia/Yakutsk,Asia/Yakutsk,ru,Asia/Yakutsk,Yakutsk,+09:00
Asia/Yangon,Asia/Yangon,mm,Asia/Yangon,Yangon,+06:30
Asia/Yekaterinburg,Asia/Yekaterinburg,ru,Asia/Yekaterinburg,Yekaterinburg,+05:00
Asia/Yerevan,Asia/Yerevan,am,Asia/Yerevan,Yerevan,+04:00
Atlantic/Azores,Atlantic/Azores,pt,Atlantic/Azores,Azores,−01:00
Atlantic/Bermuda,Atlantic/Bermuda,bm,Atlantic/Bermuda,Bermuda,−04:00
Atlantic/Canary,Atlantic/Canary,es,Atlantic/Canary,Canary,+00:00
Atlantic/Cape_Verde,Atlantic/Cape_Verde,cv,Atlantic/Cape Verde,Cape Verde,−01:00
Atlantic/Faroe,Atlantic/Faroe,fo,Atlantic/Faroe,Faroe,+00:00
Atlantic/Madeira,Atlantic/Madeira,pt,Atlantic/Madeira,Madeira,+00:00
Atlantic/Reykjavik,Atlantic/Reykjavik,is,Atlantic/Reykjavik,Reykjavik,+00:00
Atlantic/South_Georgia,Atlantic/South_Georgia,gs,Atlantic/South Georgia,South Georgia,−02:00
Atlantic/St_Helena,Atlantic/St_Helena,sh,Atlantic/St Helena,St Helena,+00:00
Atlantic/Stanley,Atlantic/Stanley,fk,Atlantic/Stanley,Stanley,−03:00
Australia/Adelaide,Australia/Adelaide,au,Australia/Adelaide,Adelaide,+09:30
Australia/Brisbane,Australia/Brisbane,au,Australia/Brisbane,Brisbane,+10:00
Australia/Broken_Hill,Australia/Broken_Hill,au,Australia/Broken Hill,Broken Hill,+09:30
Australia/Darwin,Australia/Darwin,au,Australia/Darwin,Darwin,+09:30
Australia/Eucla,Australia/Eucla,au,Australia/Eucla,Eucla,+08:45
Australia/Hobart,Australia/Hobart,au,Australia/Hobart,Hobart,+10:00
Australia/Lindeman,Australia/Lindeman,au,Australia/Lindeman,Lindeman,+10:00
Australia/Lord_Howe,Australia/Lord_Howe,au,Australia/Lord Howe,Lord Howe,+10:30
Australia/Melbourne,Australia/Melbourne,au,Australia/Melbourne,Melbourne,+10:00
Australia/Perth,Australia/Perth,au,Australia/Perth,Perth,+08:00
Australia/Sydney,Australia/Sydney,au,Australia/Sydney,Sydney,+10:00
Europe/Amsterdam,Europe/Amsterdam,nl,Europe/Amsterdam,Amsterdam,+01:00
Europe/Andorra,Europe/Andorra,ad,Europe/Andorra,Andorra,+01:00
Europe/Astrakhan,Europe/Astrakhan,ru,Europe/Astrakhan,Astrakhan,+04:00
Europe/Athens,Europe/Athens,gr,Europe/Athens,Athens,+02:00
Europe/Belgrade,Europe/Belgrade,rs,Europe/Belgrade,Belgrade,+01:00
Europe/Berlin,Europe/Berlin,de,Europe/Berlin,Berlin,+01:00
Europe/Bratislava,Europe/Bratislava,sk,Europe/Bratislava,Bratislava,+01:00
Europe/Brussels,Europe/Brussels,be,Europe/Brussels,Brussels,+01:00
