id,code_iata,code_icao,country_id,municipality,name,timezone_id
08or,,08or,us,Silver Lake,Saxon Sycan Airport,America/Los_Angeles
08te,,08te,us,Comfort,B. J. Mc Combs Sisterdale Airport,America/Chicago
08ts,,08ts,us,La Gloria,Puesta Del Sol Airport,America/Chicago
08tx,,08tx,us,Weatherford,Cross Wind Airport,America/Chicago
08va,,08va,us,Buchanan,Springwood Airstrip,America/New_York
08xs,,08xs,us,Old Ocean,Peterson Airport,America/Chicago
09ak,,09ak,us,Big Lake,West Beaver Airport,America/Anchorage
09az,,09az,us,St David,Stronghold Airport,America/Phoenix
09cl,,09cl,us,Grass Valley,Alta Sierra Airport,America/Los_Angeles
09co,,09co,us,Swink,Cottonwood Field,America/Denver
09fa,,09fa,us,Lake Placid,Placid Lakes Airport,America/New_York
09fd,,09fd,us,Bushnell,Cheryl-Lane Landings Airport,America/New_York
09fl,,09fl,us,Arcadia,Sunnybreeze Airport,America/New_York
09ga,,09ga,us,Moultrie,Sunbelt Strip,America/New_York
09ia,,09ia,us,Brooklyn,Skydive Iowa Airport,America/Chicago
09id,,09id,us,Moscow,Taylor Ranch Landing Area Airport,America/Boise
09ii,,09ii,us,Valeene,Gibbons Field,America/Indiana/Indianapolis
09in,,09in,us,Columbia City,Gordon Airport,America/Indiana/Indianapolis
09ks,,09ks,us,Wellsville,Coffman Airport,America/Chicago
09ll,,09ll,us,Capron,Pine Hill Airport,America/Chicago
09ma,,09ma,us,Southborough,Kallander Field,America/New_York
09me,,09me,us,Berwick,Perrotti Skyranch Airfield,America/New_York
09mn,,09mn,us,Hazel Run,W Johnson Field,America/Chicago
09mo,,09mo,us,Willard,Hogue Farm Airport,America/Chicago
09nc,,09nc,us,Broadway,William Irving Lewis Airport,America/New_York
09ne,,09ne,us,Bennington,Summer Hill Farm Airport,America/Chicago
09ok,,09ok,us,Collinsville,Ragtime Aerodrome,America/Chicago
09pa,,09pa,us,Port Matilda,Eagle Field,America/New_York
09ta,,09ta,us,Decatur,Lazy G Bar Ranch Airport,America/Chicago
09te,,09te,us,Glen Rose,Running M Ranch Airport,America/Chicago
09ts,,09ts,us,Marathon,Pitcock Rosillos Mountain Ranch Airport,America/Chicago
09tx,,09tx,us,Sheffield,Smokey Mtn Ranch Airport,America/Chicago
09va,,09va,us,Floyd,Alum Ridge STOLport,America/New_York
09wi,,09wi,us,Holmen,Parkway Farm Strip,America/Chicago
0ak0,,0ak0,us,North Pole,Scotts Airport,America/Anchorage
0ak1,,0ak1,us,Wasilla,Anderson Lake Airport,America/Anchorage
0ak2,,0ak2,us,Willow,Yentna Bend Strip,America/Anchorage
0ak3,,0ak3,us,Montana Creek,Parker Lake Airport,America/Anchorage
0ak5,,0ak5,us,May Creek,Young Creek Airport,America/Anchorage
0ak6,,0ak6,us,Victory Bible Camp,Victory Airport,America/Anchorage
0ak7,,0ak7,us,Homer,Bradley Lake Hydroelectri Project Airstrip,America/Anchorage
